team,id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,defense_sp_own_fumble_recoveries,defense_sp_opp_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
Texas A&M,70713a20-c5c2-11ee-bbc7-a52b27e3c1e2,Myles Davis,DB,29,,,,,,,,,,,,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,72d7dbe0-8f44-11ec-9f33-1965c9c46e44,Jacob Bostick,WR,11,1.0,4.0,14.0,14.0,14.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7301c4f4-aad2-4c79-885e-008061c23c09,Rodas Johnson,DL,56,,,,,,,,,,,,4.0,8.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,74eae240-f025-11ed-8095-ff92e6250fed,Eli Krozel,K,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,764bd8a3-d7fc-4591-9e47-0b2cd3bd7e4f,Jaylen Henderson,QB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7665caf0-1387-11ef-a453-276e817b80af,Paxton Land,QB,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,79779a00-c5c3-11ee-bbc7-a52b27e3c1e2,Ashton Funk,OL,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7a1e5145-a3d7-414f-aea3-36d05e7fa8f9,Randy Bond,K,47,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7f1c9f10-c5c7-11ee-bbc7-a52b27e3c1e2,Miles O'Neill,QB,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,83.333,51.0,8.5,0.0,0.0,1.0,17.0,0.0,209.73,5.0,33.0,2.0,51.0,3.0,0.0
Texas A&M,7f77c7e0-58c6-11ef-9b3b-c731cdaeaa58,Sawyer Bolli,DB,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7fcd0521-8a54-417e-813b-a8f2c81ab1d7,Josh Celiscar,DL,8,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,80c63b8c-3462-4948-86dd-29d48d577936,Scooby Williams,LB,,,,,,,,,,,,,20.0,10.0,30.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,80edb9d0-a275-11ed-8f2b-f3e5e15ec7fb,DJ Hicks,DL,13,,,,,,,,,,,,4.0,13.0,17.0,1.5,6.5,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,83cf4560-8511-11ec-874b-9d917cd60972,Malick Sylla,DL,92,,,,,,,,,,,,4.0,2.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,855bcce0-a276-11ed-8f2b-f3e5e15ec7fb,Chantz Johnson,LB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,85e91f10-c5c9-11ee-bbc7-a52b27e3c1e2,Robert Bourdon,OL,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,86774500-138b-11ef-8d1d-856d45ef54a7,Adam Graham,DB,39,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,89abe484-0e5c-4b37-9428-50d560ab6f52,Kolinu'u Faaiu,OL,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8b83aaea-9a5d-448e-b776-1bca1e229e94,Dametrious Crownover,OL,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8c405310-f027-11ed-8095-ff92e6250fed,Aidan Herrera,LB,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8cc364b0-37c3-11ee-8aad-e574e8ef7217,Alessandro Perez,DL,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8cc5c0b9-52e8-45da-b6a6-bf67fab9781c,William Huntsinger,OL,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8d6c3b60-a274-11ed-8f2b-f3e5e15ec7fb,Micah Tease,WR,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8ee02562-28be-4533-91f6-9692de970893,Amari Daniels,RB,5,7.0,11.0,60.0,8.571,22.0,0.0,0.0,64.0,1.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.755,139.0,8.0,661.0,71.0,71.0,34.0,10.0,-21.0,37.0,,,,,,,,,,,,,,,,,
Texas A&M,8efe5ae0-141b-11ed-8f55-53b238da45a2,Drew Beltran,DL,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
