team,id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,defense_sp_own_fumble_recoveries,defense_sp_opp_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
Texas A&M,3a143810-9b61-11ed-9535-f5ca9807efbe,Marcus Ratcliffe,DB,3,,,,,,,,,,,,29.0,19.0,48.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3f25de20-8510-11ec-b84d-a909c14fc4b8,Theo Melin Ohrstrom,TE,17,10.0,15.0,184.0,18.4,30.0,2.0,29.0,114.0,0.0,70.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3f6687d0-c5c4-11ee-bbc7-a52b27e3c1e2,Jordan Lockhart,LB,45,,,,,,,,,,,,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,411fc440-850e-11ec-b84d-a909c14fc4b8,Jarred Kerr,DB,33,,,,,,,,,,,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,43967bb0-37c3-11ee-8aad-e574e8ef7217,Tommy Colligan,LB,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,44c68192-dbe0-4e92-aac5-2d936e7815ee,Garrett Miller,TE,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,44e11990-37c2-11ee-8aad-e574e8ef7217,Ty Banco,OL,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,477bb00d-1633-4049-a0f9-7f67f61c96fd,Moose Muhammad III,WR,,6.0,11.0,55.0,9.167,20.0,2.0,6.0,49.0,3.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,47901750-850c-11ec-b446-1b024413db39,Kam Dewberry,OL,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,47fb463b-5d3c-46b5-9adb-e22f5fe551ef,Trey Zuhn III,OT,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,49407396-1dd8-4001-b35c-13de2325b245,Drake Bhatia,K,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,49ce21b0-f027-11ed-8095-ff92e6250fed,Isaiah Willis,DB,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4c605480-138e-11ef-8acf-f5eba4332e86,Ryan Burtin,WR,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4cf67650-1416-11ed-99ab-175543659a4f,AJ DiNota,RB,25,2.0,2.0,16.0,8.0,9.0,0.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,13.0,0.0,50.0,15.0,0.0,3.0,2.0,-3.0,2.0,,,,,,,,,,,,,,,,,
Texas A&M,4e29a389-2f0f-4ce7-b559-596441858df5,Danny Lockhart Jr.,LB,54,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4ee8e510-1397-11ef-a339-bdbef1d346c2,Jesse Chukwu,DL,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,50ca1810-8512-11ec-99e6-19cade85298b,Enai White,DL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,55bb3770-850b-11ec-b446-1b024413db39,Bryce Anderson,DB,1,,,,,,,,,,,,15.0,9.0,24.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,58adcfe0-a276-11ed-8f2b-f3e5e15ec7fb,Samu Taumanupepe,DL,88,,,,,,,,,,,,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5935ba00-a275-11ed-8f2b-f3e5e15ec7fb,Taurean York,LB,21,,,,,,,,,,,,36.0,41.0,77.0,2.5,13.0,1.0,1.0,0.0,1.0,3.0,7.0,28.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5b175e40-9516-11ec-a8cc-21afd89fadd3,Cyrus Allen,WR,6,18.0,32.0,269.0,14.944,73.0,1.0,73.0,261.0,2.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5c193cb0-313c-11ed-bfcf-65eaff9f277b,Dallas Novicke,QB,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5db914b0-a274-11ed-8f2b-f3e5e15ec7fb,TJ Shanahan Jr.,OL,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5e0afa40-1394-11ef-9d30-6d94649680b1,Collin Strittmatter,OL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,64c1f5f0-9cda-11ed-8450-073f5137ec67,Will Lee III,DB,26,,,,,,,,,,,,37.0,3.0,40.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,65743b3e-f891-4f93-9b9b-3c48b72a4815,Connor Able,LS,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,65821ed0-58c6-11ef-9b3b-c731cdaeaa58,Kevin Longstreet - DUP,DB,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,66b90f65-a1b9-4cfc-8be8-10cee7955279,Reuben Fatheree II,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,6ff480a0-c7d0-447f-b298-d610b9074b6e,Jaydon Hill,DB,8,,,,,,,,,,,,19.0,7.0,26.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
