team,id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
Texas A&M,2171c2f0-850f-11ec-b84d-a909c14fc4b8,Jacoby Mathews,DB,,,,,,,,,,,,,17.0,4.0,21.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,27d6fc10-6b61-4eb7-8416-a4de2ac2ff6e,Travis Pepin,DL,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,2d719740-8511-11ec-9a71-73254de4b571,Shemar Stewart,DE,,,,,,,,,,,,,8.0,4.0,12.0,1.5,6.5,0.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,35d31042-15bc-47d1-8f13-f1afa0703a5a,Fernando Garza III,TE,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3618ffeb-0200-4d93-a2f4-33fe6fba64bf,Aki Ogunbiyi,OL,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,38a88eb7-f235-4bca-b8e4-dec3892aa31c,Kenyon Jackson,WR,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,38f271aa-04ce-4349-b6de-883842654e75,Demani Richardson,DB,,,,,,,,,,,,,25.0,11.0,36.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3928fe55-6218-4931-9a86-6a8dcfecee1e,Max Wright,TE,,9.0,16.0,129.0,14.333,31.0,1.0,9.0,129.0,2.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,39b04fae-f23b-4c7e-b231-af6c193f4274,Adarious Jones,DL,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3a49b3c0-1419-11ed-8f55-53b238da45a2,Zach Rogers,OL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3f25de20-8510-11ec-b84d-a909c14fc4b8,Theo Melin Ohrstrom,TE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,411fc440-850e-11ec-b84d-a909c14fc4b8,Jarred Kerr,DB,33,,,,,,,,,,,,13.0,4.0,17.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4316c8fc-8d38-4723-9886-3d91f4c38ce6,Matthew Wykoff,OL,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,44189114-5344-4e49-8f77-d0453a938238,Brian George,DB,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,465e5f76-0028-4f38-8550-e20932f0ea81,Myles Jones,CB,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,46765a31-5af5-4446-9f3c-5e2ba637300e,Devin Price,WR,17,4.0,10.0,52.0,13.0,25.0,0.0,0.0,52.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,477bb00d-1633-4049-a0f9-7f67f61c96fd,Moose Muhammad III,WR,,38.0,64.0,610.0,16.053,45.0,4.0,21.0,574.0,9.0,36.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,47901750-850c-11ec-b446-1b024413db39,Kam Dewberry,OL,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,47fb463b-5d3c-46b5-9adb-e22f5fe551ef,Trey Zuhn III,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,49407396-1dd8-4001-b35c-13de2325b245,Drake Bhatia,K,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4996db20-1417-11ed-99ab-175543659a4f,Charles Shelling,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,49db4956-c0cf-419c-8f47-36de81d33de1,Chris Russell Jr.,LB,,,,,,,,,,,,,27.0,16.0,43.0,2.5,18.0,0.0,0.0,1.0,1.0,3.0,5.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4cd3d9e6-b9eb-4b4b-9715-a36c71a21861,Andre White,LB,,,,,,,,,,,,,16.0,10.0,26.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,4cf67650-1416-11ed-99ab-175543659a4f,AJ DiNota,RB,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,509d1350-141a-11ed-8f55-53b238da45a2,James Bailey,OL,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,50ca1810-8512-11ec-99e6-19cade85298b,Enai White,DL,6,,,,,,,,,,,,8.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,54ebfedb-7d04-4380-868f-1e1f5418f578,Blake Trainor,OL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,55b7f130-850d-11ec-b446-1b024413db39,Denver Harris,CB,,,,,,,,,,,,,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,55bb3770-850b-11ec-b446-1b024413db39,Bryce Anderson,DB,1,,,,,,,,,,,,10.0,7.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,57691739-401a-4df4-9113-cddd678c8469,Ryan Campbell,WR,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5c193cb0-313c-11ed-bfcf-65eaff9f277b,Dallas Novicke,QB,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,5ca36b1c-85e2-48a4-82a0-8ce9beed9526,Elijah Jeudy,DL,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,63566390-1418-11ed-8f55-53b238da45a2,Jaxson Slanker,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,65743b3e-f891-4f93-9b9b-3c48b72a4815,Connor Able,LS,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,65e33165-7c40-48a4-bfea-253b38e0d763,Layden Robinson,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,66b90f65-a1b9-4cfc-8be8-10cee7955279,Reuben Fatheree II,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,678276fe-d1ad-4b36-8ac5-800d32413441,Sam Mathews,LB,,,,,,,,,,,,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,69c81600-313d-11ed-bfcf-65eaff9f277b,Jacob Fitts,OL,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,6a91a396-1edd-4f87-b9f3-5909d9a9dd84,McKinnley Jackson,DL,,,,,,,,,,,,,23.0,9.0,32.0,2.0,15.0,0.0,0.0,0.0,1.0,2.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,6b646cf0-850f-11ec-b84d-a909c14fc4b8,Ethan Moczulski,K,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,6e07bd00-850e-11ec-b84d-a909c14fc4b8,Anthony Lucas,DE,6,,,,,,,,,,,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,72039260-1830-4282-9d10-c546c0a44c64,Bladen Reaves,RB,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,72e40b94-9fde-43f1-8091-26a7f6b8f882,Connor Choate,LS,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,75dd315a-7adb-4879-aaba-0ae52c66dbc1,Jalen Preston,WR,5,7.0,20.0,89.0,12.714,20.0,1.0,17.0,89.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,76aa487e-3875-4614-ac81-42f1806368ef,Josh Bankhead,OL,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,79eb6a90-141a-11ed-8f55-53b238da45a2,Hunter Vivaldi,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7a1e5145-a3d7-414f-aea3-36d05e7fa8f9,Randy Bond,K,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7a821fe0-850d-11ec-b446-1b024413db39,Ish Harris,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7cd7fbea-d054-45f2-8e43-afb62297048e,Tarian Lee Jr.,LB,40,,,,,,,,,,,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,7cec9418-8be1-43c4-8722-1286dd3cebdd,Haynes King,QB,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.862,29.0,1.0,83.0,31.0,4.0,2.0,5.0,-14.0,5.0,187.0,104.0,55.615,1220.0,6.524,7.0,36.0,7.0,66.0,6.0,116.35,66.0,0.0,21.0,1220.0,51.0,1.0
Texas A&M,82f2e951-1a67-45ac-a2e3-3fb4d46314e3,Alex Zettler,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
